rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-014_T1w	2000.0	1939.0	5065.0	2785.0	1578.0	7818.0	14848.0	9361.0	2053.0	9628.0	6942.0	7765.0	5150.0	11302.0	1855.0	3734.0	3878.0	2372.0	3580.0	1890.0	7268.0	3402.0	11132.0	8274.0	2173.0	11695.0	17826.0	13444.0	11036.0	9055.0	1025.0	1697.0	1001.0	6298.0	1039280.0	1127057.57757
sub-015_T1w	2650.0	2031.0	7611.0	2511.0	2309.0	10452.0	18620.0	11451.0	3411.0	13001.0	9276.0	8080.0	7202.0	16114.0	2843.0	4652.0	4449.0	3320.0	5758.0	1779.0	9598.0	4113.0	13560.0	11541.0	2724.0	16384.0	26603.0	13483.0	13996.0	10479.0	1289.0	2118.0	1000.0	8635.0	1263077.0	1346130.93058
sub-016_T1w	2756.0	3000.0	8435.0	4260.0	2486.0	10821.0	18095.0	12647.0	2758.0	13554.0	9488.0	8293.0	7490.0	15052.0	2195.0	4971.0	5199.0	2988.0	5471.0	3063.0	10137.0	4688.0	15461.0	12977.0	3296.0	19929.0	31535.0	17763.0	14746.0	12162.0	1239.0	2867.0	1082.0	8489.0	1383373.0	1755486.12472
sub-017_T1w	1740.0	1790.0	4579.0	2687.0	1864.0	8015.0	13324.0	9520.0	2088.0	10224.0	6621.0	6043.0	4628.0	11462.0	1830.0	3625.0	3400.0	2391.0	3684.0	2440.0	6466.0	2750.0	10577.0	8484.0	1704.0	11500.0	17287.0	9995.0	9475.0	7020.0	1003.0	1947.0	741.0	6408.0	989331.0	1093827.63803
sub-018_T1w	2607.0	2456.0	7263.0	4218.0	2516.0	10764.0	18462.0	12042.0	2912.0	14901.0	8865.0	9722.0	7070.0	12313.0	2012.0	5050.0	5390.0	3216.0	5391.0	2727.0	11092.0	4142.0	15916.0	11904.0	2327.0	20442.0	26600.0	16191.0	14826.0	10307.0	1665.0	3250.0	919.0	9031.0	1386220.0	1660045.80102
sub-019_T1w	3343.0	1743.0	8275.0	3986.0	2098.0	9012.0	17928.0	12683.0	3271.0	12395.0	9129.0	8006.0	6581.0	14322.0	1676.0	5484.0	3898.0	3245.0	4006.0	2448.0	12560.0	3081.0	16253.0	11302.0	2606.0	21830.0	32263.0	17151.0	15079.0	13264.0	1194.0	2490.0	1119.0	9419.0	1412637.0	1838209.09219
sub-020_T1w	2932.0	2845.0	5212.0	3065.0	2162.0	11320.0	16485.0	10172.0	2139.0	12767.0	7166.0	6840.0	5861.0	15856.0	2548.0	4988.0	3588.0	2320.0	4057.0	1592.0	9461.0	3621.0	16594.0	10004.0	2125.0	15994.0	24057.0	15322.0	13195.0	12823.0	1069.0	2273.0	1097.0	7637.0	1251219.0	1651958.38725
sub-023_T1w	2330.0	2467.0	6399.0	3639.0	2228.0	8825.0	14332.0	10491.0	2989.0	13654.0	7362.0	8003.0	5745.0	12555.0	2211.0	4261.0	3852.0	3480.0	4531.0	1716.0	9929.0	3541.0	13045.0	11723.0	2285.0	18188.0	24757.0	13524.0	11581.0	10922.0	1800.0	1928.0	1128.0	7982.0	1220747.0	1418056.65289
sub-024_T1w	2493.0	2793.0	6204.0	4142.0	1289.0	10059.0	13752.0	9299.0	3065.0	15273.0	8253.0	8896.0	6348.0	12958.0	1755.0	4941.0	5119.0	3734.0	5510.0	3138.0	8402.0	3601.0	16285.0	10736.0	2017.0	16450.0	25005.0	12565.0	12832.0	9820.0	1236.0	2367.0	915.0	9037.0	1246577.0	1694824.82757
sub-025_T1w	2333.0	2194.0	4943.0	3808.0	2068.0	9584.0	16422.0	10120.0	2358.0	14457.0	8140.0	8925.0	6567.0	11744.0	2117.0	4480.0	4309.0	2914.0	4474.0	2316.0	10504.0	3495.0	13995.0	12100.0	2908.0	18154.0	21636.0	14502.0	11029.0	10186.0	1307.0	2588.0	932.0	8459.0	1243978.0	1692470.48659
sub-026_T1w	2396.0	2844.0	5369.0	3282.0	1824.0	8151.0	15081.0	9977.0	2267.0	10501.0	6832.0	6976.0	5410.0	12659.0	1731.0	4242.0	2802.0	2715.0	3436.0	2772.0	9301.0	3394.0	11981.0	9995.0	2523.0	16246.0	18688.0	11431.0	10757.0	10441.0	1201.0	2209.0	725.0	6000.0	1068039.0	1183601.96021
sub-027_T1w	2600.0	3203.0	7174.0	3577.0	2392.0	8275.0	14563.0	10720.0	2048.0	11090.0	7789.0	7968.0	6053.0	11671.0	1780.0	4215.0	4176.0	3058.0	4495.0	2602.0	10590.0	3939.0	17104.0	10657.0	3066.0	18115.0	23655.0	13628.0	13721.0	10023.0	1372.0	2407.0	1098.0	7977.0	1250402.0	1303920.82533
sub-028_T1w	2720.0	2688.0	7520.0	3770.0	1846.0	9942.0	18468.0	11877.0	2651.0	14810.0	9390.0	8229.0	6718.0	14632.0	2835.0	4943.0	4020.0	2671.0	4665.0	2567.0	9556.0	3599.0	18247.0	10391.0	2251.0	18639.0	26385.0	15366.0	13937.0	11077.0	1083.0	2377.0	1027.0	7688.0	1295701.0	1738062.2682
sub-029_T1w	2743.0	1888.0	6654.0	4054.0	1643.0	9503.0	17630.0	12748.0	2954.0	13791.0	8685.0	9255.0	5990.0	14622.0	2206.0	5330.0	4344.0	3630.0	5239.0	2722.0	10284.0	4632.0	15025.0	12965.0	2863.0	23359.0	29972.0	14592.0	14292.0	11875.0	1390.0	2834.0	809.0	8646.0	1394177.0	1833356.02248
